Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL,
,,,,,,,,,http://event.gigaom.com/greennet/sponsors/media-partners/,
yes,yes,accenture,Accenture,,,showtime,http://accenture.com/,,,
yes,yes,aol,AOL,,,showtime,http://dev.aol.com/,,,
yes,yes,fenwick,Fenwick &amp; West,,,showtime,http://fenwick.com/,,,
yes,yes,sun,Sun,,,showtime,http://www.sun.com/emrkt/startupessentials/index.jsp,,,
yes,yes,prism,Prism VentureWorks,,,showtime,http://prismventure.com/,,,
yes,yes,digitalsmiths,Digitalsmiths,,,showtime,http://digitalsmiths.com/,,,
yes,yes,kiptronic,Kiptronic,,,showtime,http://kiptronic.com/,,,
yes,yes,mobitv,MobiTV,,,showtime,http://mobitv.com/,,,
yes,yes,maniatv,ManiaTV,,,showtime,http://maniatv.com/,,,
yes,yes,livestream,Mogulus,,,showtime,http://mogulus.com/,,,LiveStream was once Mogulus.  renamed slug
yes,yes,movenetworks,Move Networks,,,showtime,http://movenetworks.com/,,,
yes,yes,ning,Ning,,,showtime,http://ning.com/,,,
yes,yes,onnetworks,ON Networks,,,showtime,http://onnetworks.com/,,,
yes,yes,peer1,Peer1,,,showtime,http://peer1.com/,,,
yes,yes,podbridge,Podbridge,,,showtime,http://podbridge.com/,,,
yes,yes,quartics,Quartics,,,showtime,http://quartics.com/,,,
yes,yes,revver,Revver,,,showtime,http://revver.com/,,,
yes,yes,ripcode,Ripcode,,,showtime,http://ripcode.com/,,,
yes,yes,sandisk,SanDisk,,,showtime,http://take.tv/,,,
yes,yes,sling,Sling Media,,,showtime,http://slingmedia.com/,,,
yes,yes,soma,Soma,,,showtime,http://soma-media.com/,,,
yes,yes,videoclix,VideoClix,,,showtime,http://videoclix.com/,,,
yes,yes,verisign,VeriSign,,,showtime,http://verisign.com/,,,
yes,yes,worldtv,WorldTV,,,showtime,http://worldtv.com/,,,
yes,yes,gridnetworks,GridNetworks,,,showtime,http://gridnetworks.com,,,
yes,yes,move-networks,Move Networks,,,showtime,http://www.movenetworks.com/,,,
yes,yes,mogulus,Mogulus,,,showtime,http://mogulus.com/,,,
yes,yes,mozes,Mozes,,,showtime,http://mozes.com/,,,
yes,yes,federated-media,Federated Media,,,showtime,http://federatedmedia.net/,,,
yes,yes,mit,MIT Entrepreneurship Center,,,showtime,http://entrepreneurship.mit.edu/,,,
yes,yes,venturewire,DowJones VentureWire,,,showtime,http://venturecapital.dowjones.com/,,,
yes,yes,nytimes,The New York Times,,,showtime,http://nytimes.com/,,,
yes,yes,geektv,Geek Entertainment TV,,,showtime,http://www.geekentertainment.tv/,,,
yes,yes,beettv,Beet.TV,,,showtime,http://beet.tv/,,,
yes,yes,sfnewtech,SF New Tech Meetup,,,showtime,http://sfnewtech.com/,,,
yes,yes,svase,SVASE,,,showtime,http://svase.org/,,,
yes,yes,eventbrite,EventBrite,,,showtime,http://eventbrite.com/,,,