Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp
y,y,y,y,m,Mugs,Buckley,Analyst,TDG,Analyst,,,speaker,y,,1254292384
y,y,y,y,m,Jesse,Alexander,"Writer, Producer",HEROES,"Writer, Producer",,,speaker,y,,1255462055
y,y,y,y,m,Greg,Goodfried,"Co-Founder, President and COO",EQAL,"Co-Founder, President and COO",,,speaker,y,,manual
y,y,y,y,m,Dan,Beldy,Managing Partner,Steamboat Ventures,Managing Partner,,,"speaker
",y,,1251159540
y,y,y,y,m,Michael,Buckley,"Host,Writer and Producer","""What the Buck""","Host,Writer and Producer",,,speaker,y,,
y,y,y,y,m,Daniel,Cohen,General Partner,Gemini Israel Funds,General Partner,,,speaker,y,,
y,y,y,y,m,Brian,Conley,CEO,Small World News,CEO,,,speaker,y,,
y,y,y,y,m,Lucas,Cruikshank,Creator,"""Fred""",Creator,,,speaker,y,,
,y,y,y,m,Felicia,Day,Creator,"""The Guild """,Creator,,,speaker,y,,1255638753
y,y,y,y,m,Greg,Douglass,"Managing Director, Media & Entertainment",Accenture,"Managing Director, Media & Entertainment",,,speaker,y,,
y,y,y,y,m,John,Durham,CEO and Managing Partner,A Marketing Capital Firm<,CEO and Managing Partner,,,speaker,y,,1256582609
y,y,y,y,m,John,Edwards,President and CEO,Move Networks,President and CEO,,,speaker,y,,1256680516
y,y,y,y,m,Bill,Gannon,Director of Online Operations,Lucasfilm,Director of Online Operations,,,speaker,y,,1256151199
y,y,y,y,m,Jennifer,Gavin,Director of Digital Strategy,BBH,Director of Digital Strategy,,,speaker,y,,1254754363
y,y,y,y,m,Karin,Gilford,SVP,Comcast Interactive Media,SVP Fancast and Online Entertainment,,,speaker,y,,1255474428
y,y,y,y,m,Jeff,Gomez,CEO,Starlight Runner Entertainment,CEO,,,speaker,y,,
y,y,y,y,m,Jim,Guerard,Vice President,Adobe Systems Incorporated,"Vice President, Dynamic Media Organization",,,speaker,y,,1253477767
y,y,y,y,m,Reed,Hastings,CEO,Netflix,CEO,,,speaker,y,,1252614045
y,y,y,y,m,Xeni,Jardin,Host,"""Boing Boing""",Host and Executive Producer,,,speaker,y,,1253736261
y,y,y,y,m,Jason,Kilar,CEO,Hulu,CEO,,,speaker,y,,1253828316
y,y,y,y,m,Blake,Krikorian,CEO,Sling Media,CEO,,,speaker,y,,1254251996
y,y,y,y,m,Warren,Lee,Founder and Chairman,Canaan Partners,Principal,,,speaker,y,,manual
y,y,y,y,m,Ben,Ling,Director,YouTube,Director of Platforms and Syndication,,,speaker,y,,
y,y,y,y,f,Connie,Loizos,COO,Thomson Reuters,Senior Editor,,,speaker,y,,manual
y,y,y,y,m,Jeff,Meyer,SVP,Scripps Networks,SVP Interactive Sales,,,speaker,y,,
y,y,y,y,m,Mike,Parker,Director,"Goodby, Silverstein & Partners",Director of Digital Strategy,,,speaker,y,,
y,y,y,y,m,Jon,Raj,Chief Digital Officer,OMD,Chief Digital Officer,,,speaker,y,,
y,y,y,y,m,Alexis,Rapo,"VP, Digital Media<",Disney-ABC Television Group,"VP, Digital Media",,,speaker,y,,1253834893
y,y,y,y,m,Eric,Schmidt,Director,Microsoft,Director of Media Delivery and Monetization Evangelism,,,speaker,y,,1253477767
y,y,y,y,m,Aydin,Senkut,Founder,Felicis Ventures,Founder & President,,,speaker,y,,1254153558
y,y,y,y,m,James,Slavet,Partner,Greylock,Partner,,,speaker,y,,manual
y,y,y,y,m,Jay,Smooth,Host,"""ill doctrine""",Host,,,speaker,y,,1251223506
y,y,y,y,m,Hardie,Tankersley,VP,FOX Broadcasting,VP Online Content & Strategy,,,speaker,y,,1251748968
y,y,y,y,m,Jason,Tsai,SVP,Universal McCann San Francisco,"SVP, Group Communications Director",,,speaker,y,,
y,y,y,y,m,Mark,Taylor,SVP,Level 3 Communciations,"SVP, Emerging Opportunities, Content Markets",,,speaker,y,,1255562055
y,y,y,y,m,David,Verklin,CEO,Canoe Ventures,CEO,,,speaker,y,,1254766013
y,y,y,y,m,Alex,Withers,Managing Director  ,USGA,"Managing Director, Digital Media",,,speaker,y,,1255460516
y,y,y,y,m,Richard,Wolpert,Managing Partner,Mail Room Fund,Managing Partner,,,speaker,y,,1255108173
y,y,y,y,m,Tania,Yuki,Senior Product Manager,comScore,Senior Product Manager,,,speaker,y,,manual
y,y,y,y,m,Anthony E.,Zuiker,Creator,"""CSI: Franchise""",Creator and Executive Producer,,,speaker,y,,1251829266