,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
,,,,m,Jim,Lanzone,President,CBS Interactive,"President, CBS Interactive",1,,,,,,http://www.facebook.com/pages/CBS-Interactive/352860607270,@jlanzone,
,,,,m,Damon,Berger‎,Executive Producer,CBSNews.com’s  “What’s Trending”,"Executive Producer, CBSNews.com’s  “What’s Trending”",,,speaker,,"Co-founder of Disrupt/Group, Executive Producer at ""What's Trending"", airing every Tuesday at 10AM PT. I've spent the past decade of my life around digital strategy and the new media approach within the entertainment industry. I was formally at 20th Century Fox where I was the director of digital marketing on such titles as ""Avatar"" and ""Predators""",,http://www.facebook.com/damonberger,@damonberger,http://www.linkedin.com/in/damonberger
,,,,f,Shira,Lazar,Host,CBSNews.com’s  “What’s Trending”,CBSNews.com’s  “What’s Trending”,,,speaker,,,,,,
,,,,m,Gary,Shapiro,President and CEO,Consumer Electronics Association,"President and CEO, Consumer Electronics Association",2,,speaker,,"Gary Shapiro is president and CEO of the Consumer Electronics Association (CEA)®, the U.S. trade association representing over 2,000 consumer electronics companies, and owning and producing the continent’s largest annual tradeshow, the International CES®. Shapiro leads a staff of 140 employees and thousands of industry volunteers and has testified before Congress on technology and business issues more than 20 times. Shapiro authored the 2011 bestselling book The Comeback: How Innovation Will Restore the American Dream (Beaufort). He received his law degree from Georgetown University Law Center and is a Phi Beta Kappa graduate in economics and psychology from Binghamton University.",,http://www.facebook.com/InnovationMovement,@garyshapiro,
,,,,m,David,Preschlack,EVP Affiliate Sales and Marketing,Disney and ESPN Media Networks Group,"EVP Affiliate Sales and Marketing, Disney and ESPN Media Networks Group",4,,speaker,,"Preschlack oversees all aspects of domestic distribution of Disney and ESPN's cable and satellite networks, which include: ABC News Now, ABC Family, Disney Channel, Disney Junior, Disney XD, ESPN, ESPN2, ESPN Classic, ESPNEWS, ESPN Deportes, ESPN3.com, ESPNU and associated HD simulcasts. Preschlack oversees retransmission consent agreements for The Walt Disney Company's ten owned ABC stations as well as the distribution of company's advanced products and services. In 2010, Preschlack’s team launched authenticated version of ESPN, ESPN2, ESPNU and ESPN Buzzer Beater and Goal Line available online to fans with service from affiliate operators. In 2011 they launched these authenticated nets on mobile and tablet devices through an app called WatchESPN. Preschlack graduated from Denison University with a B.A. in economics.",,,,
,,,,m,Ed,Leonard,CTO,DreamWorks,"DreamWorks, CTO",,,speaker,,,,,,
,,,,m,Erik ,Moreno,"SVP Corporate Development and Co-GM, Mobile Content Venture",Fox,"SVP Corporate Development and Co-GM, Mobile Content Venture, Fox",3,,speaker,,"Erik Moreno serves as SVP, Corporate Development, for Fox Networks Group, where he is responsible for identifying new business and strategic opportunities, as well as work on acquisitions and joint ventures. Mr. Moreno is also Co-GM of the Mobile Content Venture (MCV), a joint venture of 12 broadcasters working to deliver live television to mobile devices. Mr. Moreno has previously served as Director of Corporate Development for eBay Inc. and as VP of Corporate Development and Strategy for Level 3 Communications. Mr. Moreno began his career at boutique investment bank Gleacher & Co. He is a graduate of the Wharton School. Mr. Moreno is a Trustee of USA Funds®, a nonprofit corporation focused on postsecondary education preparedness, access and success. ",,,,
,,,,m,Ryan,Lawler,NewTeeVee Editor and Staff Writer,GigaOM,"NewTeeVee Editor and Staff Writer, GigaOM",5,,speaker,,"Ryan Lawler has spent the last 5 years covering business, technology, and telecom-related subjects for a variety of publications based in New York. He’s the newest staff writer for GigaOm and NewTeeVee, but spent the previous two years following online video and digital media trends at Contentinople. Prior to that, Ryan covered telecom infrastructure for Light Reading.",,,,
,,,,m,Janko,Roettgers,Staff Writer,GigaOM,"Staff Writer, GigaOM",6,,speaker,,"Janko Roettgers has been covering all things tech for more than ten years. His career as a technology journalist began in Germany, where he published a number of books about subjects like the online music revolution and Internet subcultures. In the last few years, Janko has been reporting for radio networks, magazines and newspapers in Germany and beyond. He started to contribute to NewTeeVee in early 2007 and eventually became its co-editor at the end of 2009.",,,,
,,,,f,Liz,Shannon Miller,Contributing Writer,GigaOM,"Contributing Writer, GigaOM",7,,speaker,,"Liz Shannon Miller reviews the best and worst in web content, and has been called the Pauline Kael of online video by at least one person. She has been covering the online video space since 2006, is a member and co-founder of the International Academy for Web Television, and has curated the front page of YouTube with her web series picks. She is also a playwright and filmmaker in her very limited free time. Based in Los Angeles, she holds a degree in screenwriting and interactive multimedia from USC, and enjoys space battles, old school funk and videos of cats.",,,,
,,,,m,Michael,Wolf,VP Research,GigaOM Pro,"VP Research, GigaOM Pro",,,speaker,,"Michael Wolf has spent more than 10 years as an industry analyst, starting at In-Stat and launching the company’s consumer networking and digital media research services, and more recently was the digital home practice director for ABI. He’s been a columnist for Network World and has written a book on home networking for consumers. At GigaOM Pro, he oversees overall research efforts and serves as curator for the Connected Consumer.’",,,,
,,,,m,Tom,Conrad,CTO and EVP of Product,Pandora,"CTO and EVP of Product, Pandora",,,speaker,,"Tom Conrad leads Pandora’s product organization, including product management, user interface design, software development and, network operations. Tom has led numerous engineering and product design teams across several applications. Before joining Pandora, Tom was VP of Engineering at Kenamea and was responsible for the design and development of an award-winning messaging system. Tom previously was the Technical Director for the video game, ""You Don't Know Jack."" Past experience includes positions at Berkeley Systems, Relevance Technologies, Documentum, Pets.com, and Apple Computer. He holds three U.S. patents and a B.S. in Computer Engineering from the University of Michigan. Tom holds both technology and music close to his heart. He likes to say the only instrument he plays well is his stereo.",,,@tconrad,
,,,,m,Aviad ,Maizels,President and Founder,PrimeSense ,"President and Founder, PrimeSense",,,speaker,,"Aviad Maizels is an experienced technology leader who founded and created PrimeSense to be the global frontrunner in the Natural Interaction market. Maizels’ enthusiasm for eliminating technology barriers between people and devices has been a driving force behind the creation and growth of PrimeSense. Maizels’ vision is to make devices more sentient and bring them into the analog world in which we live. Today, PrimeSense is revolutionizing the natural interaction market starting with the market success of Xbox 360 Kinect among others. The company was recognized by The Wall Street Journal as one of the top 10 most promising young European technology companies. ",,,@GoPrimeSense,
,,,,m,Mitch,Singer,DECE President and CTO ,Sony Pictures Entertainment,"DECE President and CTO, Sony Pictures Entertainment",,,speaker,,,,,,http://www.linkedin.com/pub/mitch-singer/5/830/87a
,,,,m,Coleman,Breland,"COO, Turner Network Sales",Turner Broadcasting,"COO, Turner Network Sales, Turner Broadcasting",,,speaker,,"Coleman Breland is COO of Turner Network Sales, the domestic distribution, sales and marketing arm of Turner Broadcasting. Breland oversees affiliate sales, marketing promotion, interactive television and new technology business development for the news and entertainment networks. He supervises the sales and negotiations for Turner’s 10 domestic basic cable networks including, CNN, TNT, TBS and Cartoon Network, as well as the partnerships developed by Turner Private Networks and the Business Development group. Breland manages the affiliate marketing and affiliate ad sales groups and works to further align their efforts with affiliate partners. Breland is charged with maximizing the potential of TNS to clients and partners and with furthering the industry-leading value and return on investment of the Turner networks. ",,,,
,,,,m,Andrew,Wallenstein,TV Editor,Variety,"TV Editor, Variety",,,speaker,,,,,,
,,,,m,Shadman,Zafar,SVP for Rapid Product Development,Verizon Communications,"SVP for Rapid Product Development, Verizon Communications",,,speaker,,"Shadman Zafar, senior vice president for rapid product development at Verizon, is responsible for bringing together the power of software and network platforms to enable innovative products for Verizon Corporation. Zafar has been a powerful change agent at Verizon. He helped revolutionize product development and led company’s transformation from a traditional telecommunications company to an innovative entertainment and communications leader. Specifically, he launched Verizon’s award-winning FiOS TV and Internet services, disrupting the industry and reigniting competition in a previously stagnant market. Zafar’s previous roles include CIO-Telecom and CTO-eBusiness. Zafar holds a bachelor's degree in mathematics and computer science from Ohio Wesleyan University. He serves on the Board of Directors of the Boys and Girls Club, and is active in IEEE.",,www.facebook.com/VerizonFiOS,@Verizon,http://www.linkedin.com/pub/shadman-zafar/0/1ba/1aa
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,
,,,,,,,,,,,,speaker,,,,,,